,User,CARD_INDEX,Card_Brand,Card_Type,Card_Number,Expires,CVV,Has_Chip,Cards_Issued,Credit_Limit,Acct_Open_Date,Year_PIN_last_Changed,Card_on_Dark_Web
0,0,0,Visa,Debit,4344676511950444,2022-12-01T00:00:00.000,623,1,2,24295,2002-09-01T00:00:00.000,2008,0
1,0,1,Visa,Debit,4956965974959986,2020-12-01T00:00:00.000,393,1,2,21968,2014-04-01T00:00:00.000,2014,0
2,0,2,Visa,Debit,4582313478255491,2024-02-01T00:00:00.000,719,1,2,46414,2003-07-01T00:00:00.000,2004,0
3,0,3,Visa,Credit,4879494103069057,2024-08-01T00:00:00.000,693,0,1,12400,2003-01-01T00:00:00.000,2012,0
4,0,4,Mastercard,Debit (Prepaid),5722874738736011,2009-03-01T00:00:00.000,75,1,1,28,2008-09-01T00:00:00.000,2009,0
5,1,0,Visa,Credit,4404898874682993,2003-09-01T00:00:00.000,736,1,1,27500,2003-09-01T00:00:00.000,2012,0
6,1,1,Visa,Debit,4001482973848631,2022-07-01T00:00:00.000,972,1,2,28508,2011-02-01T00:00:00.000,2011,0
7,1,2,Mastercard,Debit,5627220683410948,2022-06-01T00:00:00.000,48,1,2,9022,2003-07-01T00:00:00.000,2015,0
8,1,3,Mastercard,Debit (Prepaid),5711382187309326,2020-11-01T00:00:00.000,722,1,2,54,2010-06-01T00:00:00.000,2015,0
9,1,4,Mastercard,Debit (Prepaid),5766121508358701,2023-02-01T00:00:00.000,908,1,1,99,2006-07-01T00:00:00.000,2012,0
10,2,0,Mastercard,Debit,5495199163052054,2022-03-01T00:00:00.000,677,1,2,31599,2009-10-01T00:00:00.000,2009,0
11,2,1,Mastercard,Debit,5804499644308599,2023-07-01T00:00:00.000,258,0,2,27480,2002-03-01T00:00:00.000,2008,0
12,2,2,Mastercard,Debit,5766352389579834,2020-02-01T00:00:00.000,992,1,1,26743,2019-03-01T00:00:00.000,2019,0
13,2,3,Visa,Debit,4242015583697294,2020-06-01T00:00:00.000,928,1,1,31463,2014-04-01T00:00:00.000,2014,0
14,2,4,Mastercard,Debit,5191030913182493,2024-06-01T00:00:00.000,360,1,1,16055,2009-09-01T00:00:00.000,2009,0
15,3,0,Visa,Credit,4017261190134817,2015-05-01T00:00:00.000,877,1,2,98100,2011-01-01T00:00:00.000,2011,0
16,3,1,Mastercard,Debit (Prepaid),5581970288727991,2020-06-01T00:00:00.000,448,1,1,62,2007-02-01T00:00:00.000,2007,0
17,3,2,Visa,Debit,4032240655674503,2022-06-01T00:00:00.000,53,1,1,132439,2010-11-01T00:00:00.000,2011,0
18,3,3,Visa,Debit,4935974646456357,2020-06-01T00:00:00.000,649,1,1,125723,2009-10-01T00:00:00.000,2010,0
19,4,0,Mastercard,Debit,5905027855347659,2022-01-01T00:00:00.000,886,1,1,34900,1999-12-01T00:00:00.000,2012,0
20,5,0,Visa,Credit,4099623033306950,2021-09-01T00:00:00.000,74,1,2,9900,2002-01-01T00:00:00.000,2019,0
21,5,1,Visa,Debit,4281200324251212,2013-07-01T00:00:00.000,865,1,2,21587,2007-09-01T00:00:00.000,2007,0
22,5,2,Visa,Credit,4411456925570768,2022-11-01T00:00:00.000,922,1,2,15800,2005-11-01T00:00:00.000,2011,0
23,6,0,Mastercard,Debit,5202477865497336,2022-04-01T00:00:00.000,861,1,1,29964,2005-06-01T00:00:00.000,2014,0
24,6,1,Mastercard,Credit,5089768442116305,2023-07-01T00:00:00.000,686,1,2,11200,2010-09-01T00:00:00.000,2010,0
25,6,2,Mastercard,Debit,5767339719294372,2021-12-01T00:00:00.000,669,0,2,26753,2014-10-01T00:00:00.000,2014,0
26,7,0,Visa,Debit,4595831603224644,2023-05-01T00:00:00.000,689,0,2,17480,2020-01-01T00:00:00.000,2020,0
27,8,0,Mastercard,Debit,5341049613275152,2021-09-01T00:00:00.000,396,1,2,26546,2009-11-01T00:00:00.000,2009,0
28,8,1,Mastercard,Debit,5668831527649353,2021-01-01T00:00:00.000,356,1,1,23253,2017-09-01T00:00:00.000,2017,0
29,8,2,Visa,Credit,4400056931148232,2021-02-01T00:00:00.000,497,1,1,16100,2005-01-01T00:00:00.000,2014,0
30,8,3,Visa,Credit,4808554251869440,2021-02-01T00:00:00.000,921,1,2,8700,2012-01-01T00:00:00.000,2012,0
31,8,4,Mastercard,Debit,5224739362243611,2019-01-01T00:00:00.000,922,1,1,29333,2012-05-01T00:00:00.000,2012,0
32,9,0,Mastercard,Debit,5294178176133532,2024-07-01T00:00:00.000,265,1,2,9496,2009-07-01T00:00:00.000,2012,0
